breweryName,breweryCity,breweryState
Bridge and Tunnel Brewery,"Ridgewood, Queens",NY
Brooklyn Brewery,"Williamsburg, Brooklyn",NY
Brooklyn Kura,"Sunset Park, Brooklyn",NY
Coney Island Brewing Company,"Coney Island, Brooklyn",NY
DaleView Buscuits and Beer,"Flatbush, Brooklyn",NY
Ellicottville Brewing Company ,"Ellicottville, Bemus Point, and Fredonia",NY
Folksbier Brewery,"Carroll Gardens, Brooklyn",NY
Interboro Spirits & Ales,"East Williamsburg, Brooklyn",NY
Keg & Lantern Brewing Company,"Greenpoint, Brooklyn",NY
Strong Rope Brewery,"Gowanus, Brooklyn",NY
Threes Brewing,"Gowanus, Brooklyn",NY
Waikiki Brewing Company,"Waikīkī, Honolulu",HI
Honolulu Beerworks,"Kaka‘ako, Honolulu",HI
Beer Lab HI,"Mō‘ili‘ili, Honolulu",HI
Aloha Beer Company,"Kaka‘ako, Honolulu",HI
Home of the Brave Beverage Co,"Kaka‘ako, Honolulu",HI
25 O'Clock Brewing Company,"Urbana, added a taprooom in 2018.",IL
5 Rabbit Cervecería,"Founded in Chicago in 2011. Originally the beer was contract brewed. They opened their own brewery in Bedford Park in 2012, and added a taproom in 2014.",IL
Aleman Brewing Company,"Chicago, founded in 2013. Initially the beer was contract brewed. Opened their own brewery in 2016.",IL
All Rise Brewing Company,"The brewery began operations in 2014, inside the existing Cobra Lounge in Chicago.",IL
Bent River Brewing Company,"Brewpub in Moline, bottling line and taproom in Rock Island. Founded in 1997.",IL
Big Muddy Brewing,"Murphysboro, founded in 2009.",IL
Buzz Bomb Brewing Company,"Springfield. Added a second brewery, in Illiopolis, later that year.",IL
Carbondale Craft Beer,"Ava, makers of Little Egypt beer, founded in 2012.",IL
Cruz Blanca,"Founded by chef Rick Bayless in 2015, the beer was originally contract brewed. The brewpub in Chicago opened in 2016.",IL
District Brew Yards,"Chicago as a brewery run cooperatively by three brewing companies – Burnt City Brewing, Around the Bend Beer Company, and Bold Dog Beer Company. Added a fourth company, Casa Humilde Cervecería Artesanal, later that year.",IL
Emmett's Brewing Company,"West Dundee, Palatine, Downers Grove, Wheaton; founded in 1998.",IL
Excel Brewing Company,"Breese. Founded as a soft drink company in 1936, Excel Bottling Company started brewing beer in 2012.",IL
Finch Beer Company,"Chicago. Opened in 2011 as Finch's Beer Company. In 2016 they changed their name to Finch Beer Company and opened a brewpub at a second location, which closed later that year. In 2017 they bought the Like Minds brewery and moved their operations there. In 2020 they opened a brewpub called The Perch at a separate location.",IL
Flossmoor Station Brewing Company,"Flossmoor. Brewpub opened in 1996, bottling operation started in 2008.",IL
Forbidden Root,"Founded in Chicago in 2013, the beer was initially brewed at various locations. The brewpub opened in 2016.",IL
Goose Island Beer Company,"Founded in Chicago in 1988 as a brewpub on Clybourn Avenue, Goose Island opened a bottling plant on Fulton Street in 1995, and a second brewpub, in the Wrigleyville neighborhood, in 1999. The production brewery and its beers, but not the brewpubs, were purchased by Anheuser-Busch InBev in 2011. Goose Island now has national distribution, and some of the beer is produced at other breweries. A brewery taproom opened in 2015. The Wrigleyville brewpub closed in 2015. The Clybourn Avenue brewpub was bought by AB InBev in 2016.",IL
Granite City Food & Brewery,"With its headquarters in Minneapolis, Minnesota, Granite City operates several dozen brewpubs in the Midwest, including two in Illinois, in Naperville and Schaumburg.",IL
Greenstar Brewing,"Located at the Uncommon Ground restaurant in Chicago, Greenstar began production in 2014 as the first organic brewery in Illinois.",IL
Half Acre Beer Company,"Half Acre was founded in 2007, with the beer initially contract brewed in Wisconsin. The brewery on Lincoln Avenue in Chicago started production in 2009, and the tap room opened in 2012. In 2015, a second, larger brewery started production on Balmoral Avenue, a mile and a half from the first location. The Lincoln Avenue tap room added a kitchen in 2016. The Balmoral Avenue brewery added a brewpub in 2017.",IL
Hardware,"Brewpub in North Aurora, home of BBGB Brewery and Hop Farm..",IL
Haymarket Pub & Brewery,"The brewpub in Chicago opened in 2010. The second brewpub and production brewery in Bridgman, Michigan opened in 2017.",IL
Hofbräuhaus,"Hofbräuhaus Chicago opened in Rosemont in 2013 and closed in 2021. Hofbräuhaus St. Louis opened in Belleville in 2018. The brewpub is part of an international chain licensed by the original Hofbräuhaus in Munich, Germany.",IL
Iron Spike Brewing Company,"Galesburg, added a canning line in 2016.",IL
Jolly Pumpkin Artisan Ales,"Jolly Pumpkin was founded in Dexter, Michigan in 2004, and now has several locations. The Chicago brewpub opened in 2017. Most of the beer there comes from the Dexter brewery, but some is brewed onsite.",IL
Lagunitas Brewing Company,"Founded in 1993, and based in Petaluma, California since 1994, Lagunitas built a second brewery in Chicago in 2014, the largest in the city. The brewpub opened a few months later. In 2015 Heineken International purchased a 50% stake in the company, and in 2017 it purchased the other 50%.",IL
Maplewood Brewery & Distillery,"Founded in Chicago as Mercenary in 2014, renamed to Maplewood in 2015. The brewpub opened in 2017.",IL
Marz Community Brewing Company,"Chicago. Moved to a new location in 2017, and added a brewpub in 2018. The Life on Marz Community Club nanobrewery and taproom, also in Chicago.",IL
Metropolitan Brewing,"Chicago, founded in 2008. Moved to a new location and added a taproom in 2017.",IL
Middle Brow Beer Company,"Chicago, began production in 2014. The beer has been contract brewed at various breweries in the Chicago area. In 2019 they opened their own brewpub, called Bungalow. Some of their packaged beer is still produced under contract.",IL
Mikerphone Brewing,"Founded in Chicago in 2015. At first the beer was brewed at SlapShot, then at Une Année. They opened their own brewery in Elk Grove Village in 2017.",IL
Moody Tongue Brewing Company,"Chicago, founded in 2014. Added a tap room in 2016. In 2019 they moved to the larger, vacant Baderbrau Brewing Company building and expanded the food menu, closing the old location in June of that year and opening the new one in November.",IL
Noon Whistle Brewing,"The brewery and taproom in Lombard opened in 2014. The production brewery in Naperville opened in 2020, and added a taproom later that year.",IL
Oak Park Brewing Company,"Oak Park, co-located with Hamburger Mary's Show Lounge; opened in 2016.",IL
Off Color Brewing,"Chicago. A second brewery, with a taproom called the Mousetrap.",IL
Only Child Brewing,"Opened in Northbrook in 2013, moved to Gurnee in 2015.",IL
Phase Three Brewing Company,"Lake Zurich, founded in 2019. The beer was initially brewed at Lake Zurich Brewing Company, which they bought out in 2020.",IL
Pipeworks Brewing Company,"Chicago, moved to a larger space in 2015.",IL
Pollyanna Brewing Company,"Lemont. A second brewery, with a taproom called Roselare, opened in Roselle in 2017. A third location, in St. Charles.",IL
Prairie Street Brewing Company,"Rockford. Opened as Rockford Brewing Company in 2013, in the old Peacock Brewery. Renamed to Prairie Street in 2016.",IL
Radicle Effect Brewerks,"Rock Island as Against the Grain Brewery & Alehouse, changed their name in 2014 to Radicle Effect Brewerks.",IL
Ravinia Brewing Company,"Founded in 2017. Initially the beer was contract brewed at Finch Brewery. The pub in Highland Park opened in 2018, with the beer brought in from offsite. The production brewery in Chicago opened in 2019.",IL
Rock Bottom Restaurant & Brewery,"Rock Bottom is a chain of brewpubs founded in Denver, Colorado in 1991. It has several dozen locations, with those in Illinois including Chicago, Lombard, Orland Park, and Warrenville, plus one in Bolingbrook that was formerly a Gordon Biersch. (Both Rock Bottom and Gordon Biersch were owned by CraftWorks Holdings and are now owned by SPB Hospitality.)",IL
ShadowView Brewing,"Woodstock, restaurant opened in 2018, commenced brewing in 2019.",IL
Sketchbook Brewing Company,"The brewery in Evanston opened in 2014, and added a taproom in 2016. The brewery and taproom in Skokie opened in 2020.",IL
Solemn Oath Brewery,"Naperville, founded in 2012.",IL
Ten Ninety Brewing Company,"Founded in 2013. Initially the beer was contract brewed at Big Chicago Brewing Company in Zion, which Ten Ninety then acquired in 2014. The brewery moved to a new location with a taproom in Glenview in 2016. They added a kitchen in 2019.",IL
Tribes Beer Company,"Started as the Tribes Alehouse bar and restaurant in Mokena (2009) and Tinley Park (2012), then added a brewery at the Mokena location in 2015. Opened a larger brewery and taproom in Mokena in 2018. The first Mokena location closed in 2019.",IL
Twisted Hippo,"Founded in Chicago as Rude Hippo in 2014 and later renamed to Twisted Hippo. The beer was contract brewed at 18th Street Brewery in Gary, Indiana, SlapShot Brewing in Chicago, and Aleman Brewing in Chicago. They opened their own brewpub in 2019.",IL
Two Brothers Brewing,"Two Brothers opened in 1997, and started bottling their beer in 1998. They have three brewpubs — one at the main brewery in Warrenville (opened in 2008), one at the Two Brothers Roundhouse in Aurora (2013), and one in Scottsdale, Arizona (2015). In 2017 they also started distilling hard liquor at the Aurora location.",IL
Unpossible Mead,"Meadery in Dwight, taproom opened in 2018",IL
Wild Blossom Meadery,"Chicago; opened in 2001; moved to a new location and added a taproom in 2017. Wild Blossom brews mead, using their own honey, and also makes wine and beer.",IL
Ram Restaurant & Brewery,"Arlington, Lakebay, Puyallup, Richland, Roslyn, Woodinville",WA
Diamond Knot Craft Brewing,"Mountlake Terrace, Mukilteo",WA
McMenamins,"Mill Creek, Olympia, Seattle (2), Vancouver (2)",WA
Fox River Brewing Company,"Oshkosh, Wisconsin",WI
Mountain State Brewing Company,"Morgantown, Thomas,",WV
Melvin Brewing,"Jackson, Alpine",WY
